customer_id,revenue,clicks,conversions,session_duration,page_views,bounce_rate,time_on_site,region,device_type
CUST_000080,3.05,27.0,2.0,16.1,1.7063597338419054,0.367,1284.0,South,Desktop
CUST_000081,25.44,13.0,1.0,20.9,4.100683420193335,0.417,1338.0,East,Desktop
CUST_000082,50.83,27.0,0.0,12.2,57.76775116326135,,1369.0,East,Desktop
CUST_000083,,12.0,0.0,15.5,29.831210676842264,0.629,841.0,South,Mobile
CUST_000084,17.78,28.0,1.0,17.2,7.124153909323718,0.689,805.0,East,Mobile
CUST_000085,12.55,27.0,1.0,0.0,17.38843741301197,0.351,,East,Mobile
CUST_000086,,15.0,0.0,9.7,1.2634072989999483,0.247,572.0,West,Desktop
CUST_000087,99.33,21.0,0.0,4.9,36.17406366111835,0.225,0.0,West,Mobile
CUST_000088,49.13,23.0,2.0,3.9,9.47125553337008,0.567,0.0,North,Mobile
CUST_000089,17.54,35.0,4.0,3.7,22.961695271237183,0.611,287.0,East,Desktop
CUST_000090,61.31,19.0,0.0,15.8,13.247254668518087,0.696,1041.0,East,Desktop
CUST_000091,37.21,44.0,3.0,19.3,6.408227916611895,0.351,733.0,East,Desktop
CUST_000092,105.89,,0.0,5.9,4.20061972742969,0.446,,South,Desktop
CUST_000093,14.26,29.0,2.0,6.3,36.13050290826777,0.367,,East,Mobile
CUST_000094,22.35,17.0,2.0,18.3,27.06837415467449,0.346,986.0,East,Tablet
CUST_000095,20.69,30.0,0.0,23.0,13.061263764982945,0.32,1167.0,West,Mobile
CUST_000096,5.72,,2.0,18.2,16.841387023725137,0.117,1242.0,East,Desktop
CUST_000097,47.24,24.0,0.0,22.8,7.865796216305511,0.406,1592.0,South,Mobile
CUST_000098,45.3,21.0,2.0,13.5,19.85228930356337,0.065,1346.0,East,Desktop
CUST_000099,33.32,15.0,0.0,,5.081197612616049,0.197,1094.0,North,Mobile
CUST_000100,24.99,25.0,3.0,12.3,10.77824407439454,0.482,417.0,East,Desktop
CUST_000101,6.06,29.0,1.0,17.8,13.5901274261321,0.165,1188.0,South,Desktop
CUST_000102,19.99,22.0,1.0,5.9,29.903065775560638,0.354,,West,Tablet
CUST_000103,21.95,24.0,,26.4,17.941282053867848,0.409,1711.0,South,Mobile
CUST_000104,12.65,7.0,0.0,28.7,9.748909799916206,0.448,,West,Mobile
CUST_000105,305.43,16.0,,16.4,16.82653340670359,0.348,440.0,East,Mobile
CUST_000106,53.78,22.0,1.0,28.2,8.12303375458576,0.037,1783.0,North,Mobile
CUST_000107,318.44,29.0,1.0,,4.132607503319492,0.542,858.0,West,Desktop
CUST_000108,40.83,27.0,2.0,14.2,26.341649582780175,0.432,1174.0,South,Desktop
CUST_000109,45.11,18.0,3.0,11.4,14.466022196748117,0.279,861.0,East,Desktop
CUST_000110,30.29,14.0,0.0,,17.112299801654167,0.373,1823.0,South,Desktop
CUST_000111,3.31,23.0,1.0,13.8,4.710378950583405,0.068,829.0,West,Mobile
CUST_000112,32.08,21.0,,14.9,4.846422572121563,0.741,1243.0,West,Tablet
CUST_000113,,19.0,0.0,22.4,,0.413,959.0,South,Mobile
CUST_000114,636.44,15.0,4.0,18.1,18.31696052349005,0.3,1405.0,North,Mobile
CUST_000115,26.29,22.0,0.0,12.6,52.7883293793009,0.669,704.0,East,Mobile
CUST_000116,47.55,46.0,7.0,22.5,21.76698410198852,0.469,1340.0,East,Mobile
CUST_000117,31.76,12.0,1.0,2.4,3.0714949911553093,0.364,,West,Mobile
CUST_000118,8.15,42.0,3.0,14.3,40.30829379330841,0.487,662.0,East,Desktop
CUST_000119,130.5,15.0,1.0,15.2,4.590367795120744,,868.0,South,Mobile
CUST_000120,81.64,17.0,1.0,13.8,22.39277758040558,0.61,1185.0,North,Desktop
CUST_000121,,11.0,,21.6,12.961048029227742,0.414,1299.0,West,Desktop
CUST_000122,11.12,26.0,2.0,8.3,4.08943329829979,0.319,618.0,East,Desktop
CUST_000123,,32.0,3.0,,47.06914708629738,0.577,851.0,West,Mobile
CUST_000124,6.16,14.0,0.0,35.1,32.82339918375695,0.388,1780.0,South,Mobile
CUST_000125,66.97,27.0,0.0,20.8,28.009658134107752,0.145,1434.0,South,Tablet
CUST_000126,458.77,34.0,0.0,22.9,7.634973602736727,0.456,1094.0,South,Mobile
CUST_000127,10.09,23.0,1.0,14.1,30.66564807043967,0.317,1041.0,East,Mobile
CUST_000128,,25.0,0.0,26.1,3.210538205649363,0.424,1769.0,West,Mobile
CUST_000129,37.32,17.0,0.0,2.3,7.4762463801280115,0.08,75.0,East,Desktop
CUST_000130,,,3.0,24.0,6.178888608284291,0.11,1931.0,South,Mobile
CUST_000131,5.15,15.0,1.0,13.1,3.385657195723017,0.533,983.0,West,Mobile
CUST_000132,35.96,19.0,1.0,9.6,6.746951394741719,0.271,531.0,East,Desktop
CUST_000133,9.26,18.0,3.0,9.0,5.258134327417253,0.2,1086.0,South,Desktop
CUST_000134,58.46,10.0,0.0,14.4,7.011280462461459,0.197,1157.0,East,Mobile
CUST_000135,10.99,20.0,1.0,22.8,17.755306964377322,0.342,1078.0,West,Mobile
CUST_000136,212.71,31.0,1.0,5.2,2.481851041035536,0.485,0.0,East,Mobile
CUST_000137,12.94,29.0,1.0,27.0,4.0326794921089375,0.417,1530.0,South,Desktop
CUST_000138,22.5,,1.0,7.0,2.9867431453360176,0.744,537.0,West,Desktop
CUST_000139,87.9,30.0,4.0,12.2,9.993902344386884,0.541,858.0,South,Desktop
CUST_000140,7.56,31.0,0.0,10.5,,0.266,1073.0,West,Desktop
CUST_000141,43.51,28.0,1.0,15.3,9.506233833382666,0.146,770.0,West,Desktop
CUST_000142,158.95,48.0,11.0,9.8,20.994447766433932,,614.0,North,Mobile
CUST_000143,4.81,15.0,0.0,10.4,5.291261801263879,0.233,1073.0,South,Desktop
CUST_000144,41.33,30.0,0.0,5.3,11.500796031198528,0.776,324.0,South,Mobile
CUST_000145,45.23,64.0,4.0,16.0,8.098484657490605,0.582,1407.0,West,Mobile
CUST_000146,84.62,27.0,0.0,4.3,26.862632104353988,0.28,45.0,East,Desktop
CUST_000147,,15.0,0.0,96.8,15.482337625250356,0.434,5609.0,West,Mobile
CUST_000148,6.79,22.0,1.0,7.0,17.612280812703233,0.718,653.0,North,Desktop
CUST_000149,61.95,20.0,1.0,6.4,16.019354695546244,0.332,250.0,West,Mobile
CUST_000150,47.29,12.0,0.0,9.0,3.1475597541230877,0.121,493.0,East,Desktop
CUST_000151,44.73,27.0,3.0,8.1,32.14331987419327,0.515,365.0,West,Desktop
CUST_000152,,34.0,1.0,18.5,5.358297622048237,0.156,824.0,North,Desktop
CUST_000153,14.64,30.0,1.0,10.5,20.69890150029294,0.395,478.0,West,Desktop
CUST_000154,43.76,21.0,1.0,25.5,22.122697089659926,0.278,1421.0,East,Desktop
CUST_000155,,22.0,0.0,9.5,3.4961001876410447,0.231,465.0,East,Desktop
CUST_000156,14.05,,3.0,13.6,6.695934666356325,0.894,529.0,South,Mobile
CUST_000157,310.73,30.0,2.0,10.7,2.463785703505183,0.35,244.0,South,Desktop
CUST_000158,58.48,29.0,1.0,14.0,16.807469182422093,0.647,583.0,North,Mobile
CUST_000159,7.93,23.0,0.0,14.8,64.57328175203665,0.38,,West,Mobile
CUST_000160,72.81,13.0,0.0,14.6,13.356155749580786,0.635,766.0,South,Desktop
CUST_000161,10.28,33.0,1.0,135.4,13.96886433518656,0.569,8207.0,West,Mobile
CUST_000162,85.16,18.0,1.0,,26.563511146411365,0.761,867.0,East,Tablet
CUST_000163,133.0,25.0,,60.8,15.034358581172462,0.227,3321.0,East,Mobile
CUST_000164,12.37,23.0,1.0,130.4,9.406329358794833,0.754,8038.0,West,Mobile
CUST_000165,105.22,25.0,1.0,12.6,21.844287856862447,0.084,523.0,East,Tablet
CUST_000166,,18.0,0.0,25.3,7.036961001457776,0.824,2274.0,West,Desktop
CUST_000167,88.81,36.0,,16.3,17.00193783967888,0.558,1016.0,North,Mobile
CUST_000168,322.52,34.0,0.0,0.0,10.429464428237445,0.13,,North,Mobile
CUST_000169,24.67,32.0,2.0,16.5,,0.318,1270.0,West,Desktop
CUST_000170,13.4,21.0,0.0,26.3,9.825624558001428,0.586,1416.0,South,Desktop
CUST_000171,11.39,22.0,4.0,19.8,4.610449582377133,0.104,1174.0,North,Mobile
CUST_000172,99.87,44.0,1.0,14.1,10.21666611155899,0.699,963.0,West,Desktop
CUST_000173,30.19,35.0,1.0,10.7,3.147477829643418,0.288,723.0,North,Mobile
CUST_000174,49.87,19.0,0.0,28.1,22.097424316614745,0.538,1714.0,East,Mobile
CUST_000175,46.16,14.0,0.0,15.7,13.123051744680426,0.12,1247.0,East,Desktop
CUST_000176,89.36,23.0,1.0,5.6,6.506845049638134,0.182,533.0,South,Desktop
CUST_000177,33.64,27.0,2.0,16.0,4.465076609540632,0.328,1171.0,West,Desktop
CUST_000178,189.47,26.0,2.0,8.2,9.655678315571436,0.14,468.0,South,Desktop
CUST_000179,24.1,45.0,3.0,0.0,10.049581465536813,0.336,0.0,North,Desktop
CUST_000180,866.28,19.0,2.0,15.1,10.484621933858866,0.657,640.0,East,Desktop
CUST_000181,70.16,40.0,2.0,15.4,14.306214854358272,0.218,729.0,North,Mobile
CUST_000182,11.84,12.0,1.0,12.2,10.983419676599489,0.343,542.0,West,Tablet
CUST_000183,9.16,31.0,2.0,12.3,31.59733030328451,0.482,979.0,East,Desktop
CUST_000184,59.08,13.0,1.0,16.1,3.5607401927991895,0.157,807.0,West,Desktop
CUST_000185,25.33,15.0,1.0,9.6,22.095721222301528,0.312,462.0,South,Tablet
CUST_000186,78.01,21.0,0.0,6.0,10.343337984479067,0.515,542.0,East,Desktop
CUST_000187,58.43,16.0,0.0,4.7,10.651626669914743,0.06,159.0,West,Desktop
CUST_000188,30.34,39.0,3.0,,5.695835226680293,0.217,,South,Desktop
CUST_000189,11.99,27.0,0.0,17.1,64.57081218627638,0.267,1198.0,South,Desktop
CUST_000190,5.38,17.0,1.0,0.0,44.02722137693363,0.075,0.0,North,Desktop
CUST_000191,19.38,24.0,2.0,18.9,23.95721935978328,0.392,1323.0,North,Desktop
CUST_000192,92.54,20.0,3.0,12.6,3.27631907591699,0.763,312.0,North,Mobile
CUST_000193,42.82,15.0,2.0,10.3,,0.439,67.0,North,Mobile
CUST_000194,7.43,12.0,0.0,26.8,8.358063892557258,0.711,1960.0,West,Mobile
CUST_000195,40.76,9.0,0.0,24.3,15.415862370720708,0.504,1490.0,West,Desktop
CUST_000196,52.58,8.0,0.0,19.3,6.2902083348425615,0.447,933.0,North,Desktop
CUST_000197,11.47,26.0,4.0,6.7,31.00751170691026,0.355,156.0,West,Tablet
CUST_000198,39.82,33.0,1.0,24.6,22.593689766449366,0.785,,South,Desktop
CUST_000199,35.51,24.0,0.0,6.7,6.045072609454667,0.662,891.0,South,Mobile
CUST_000200,8.4,31.0,1.0,12.6,30.29756062229169,0.188,845.0,South,Mobile
CUST_000201,50.87,25.0,3.0,16.9,5.235509479579273,0.582,963.0,West,Tablet
CUST_000202,64.91,19.0,1.0,0.0,52.981257662840264,0.246,0.0,East,Desktop
CUST_000203,121.47,,1.0,17.0,,0.424,673.0,North,Mobile
CUST_000204,117.28,9.0,0.0,8.3,14.243313239291421,0.488,0.0,East,Desktop
CUST_000205,6.34,18.0,0.0,11.3,6.261017156906663,0.625,954.0,North,Mobile
CUST_000206,10.75,12.0,1.0,5.5,11.487232072232796,0.237,944.0,West,Desktop
CUST_000207,61.44,24.0,0.0,23.5,33.44356716637298,0.237,1639.0,East,Mobile
CUST_000208,61.35,,5.0,12.2,9.371351905654432,0.501,1220.0,West,Tablet
CUST_000209,61.44,19.0,3.0,,11.663981309524134,0.295,1455.0,South,Mobile
CUST_000210,3372.06,26.0,0.0,28.0,7.711375203708547,0.134,1739.0,East,Desktop
CUST_000211,65.7,19.0,4.0,22.6,16.474404862844384,,1769.0,North,Desktop
CUST_000212,129.37,37.0,4.0,15.4,3.982717904229691,0.333,1084.0,North,Desktop
CUST_000213,104.04,25.0,2.0,9.2,29.486559876050535,0.503,379.0,South,Desktop
CUST_000214,72.36,22.0,2.0,9.2,7.162572804747778,0.679,22.0,West,Mobile
CUST_000215,22.68,13.0,2.0,18.5,12.760905647266913,0.267,930.0,North,Desktop
CUST_000216,82.33,33.0,2.0,7.5,18.411787196299,0.082,447.0,East,Mobile
CUST_000217,13.1,20.0,1.0,0.0,38.99926625332863,,301.0,South,Desktop
CUST_000218,24.92,13.0,0.0,8.8,20.85792855665993,0.187,89.0,South,Mobile
CUST_000219,18.5,41.0,2.0,18.2,4.456561130537607,0.341,1165.0,South,Desktop
CUST_000220,,16.0,2.0,10.0,30.226480467467304,0.393,665.0,East,Desktop
CUST_000221,,26.0,1.0,23.2,1.034223571394739,,1412.0,East,Desktop
CUST_000222,3.52,28.0,4.0,9.8,9.159675869350599,0.342,1130.0,North,Desktop
CUST_000223,75.45,25.0,0.0,13.5,10.98163496533195,0.055,1062.0,East,Desktop
CUST_000224,4.78,13.0,2.0,8.8,4.819013764622977,0.925,709.0,West,Desktop
CUST_000225,18.8,25.0,0.0,13.9,3.6322106061314723,0.381,742.0,West,Mobile
CUST_000226,122.33,41.0,1.0,6.0,24.595691086159587,0.192,121.0,South,Tablet
CUST_000227,35.77,20.0,2.0,25.4,6.328488818932048,0.781,2002.0,North,Tablet
CUST_000228,9.09,34.0,1.0,22.8,6.205988260652279,0.364,2058.0,South,Desktop
CUST_000229,14.04,32.0,2.0,4.3,10.723137956639505,0.726,75.0,South,Tablet
CUST_000230,74.85,15.0,0.0,23.3,7.103503506752073,0.55,1053.0,North,Desktop
CUST_000231,13.78,19.0,2.0,26.2,11.18670908149398,,1847.0,West,Desktop
CUST_000232,42.94,,0.0,19.6,42.011771574701065,0.631,1440.0,West,Desktop
CUST_000233,34.98,17.0,0.0,24.6,9.531308592861034,0.246,1733.0,North,Tablet
CUST_000234,15.15,17.0,2.0,15.8,9.636818533571518,0.355,1048.0,West,Desktop
CUST_000235,433.86,19.0,2.0,20.1,37.32515463957236,0.141,1140.0,South,Desktop
CUST_000236,70.86,26.0,1.0,18.9,11.751930967499506,0.211,954.0,East,Desktop
CUST_000237,2.91,18.0,0.0,7.6,23.06606171593961,0.454,482.0,South,Desktop
CUST_000238,41.42,22.0,0.0,21.9,12.888741536797385,0.52,937.0,East,Mobile
CUST_000239,14.97,23.0,2.0,17.9,6.308464136296796,,1083.0,East,Mobile
CUST_000240,92.1,26.0,2.0,6.5,3.5363146039514963,0.617,422.0,North,Desktop
CUST_000241,12.79,24.0,0.0,2.0,11.950397579115405,0.503,244.0,West,Desktop
CUST_000242,28.86,18.0,2.0,,16.265216052852118,0.314,1185.0,West,Mobile
CUST_000243,60.7,19.0,2.0,13.8,26.300202684044866,0.673,667.0,West,Mobile
CUST_000244,93.59,31.0,0.0,5.0,9.880496528044015,0.553,817.0,East,Desktop
CUST_000245,7.84,30.0,2.0,24.7,23.97091991457611,0.542,1745.0,West,Desktop
CUST_000246,22.17,32.0,1.0,,8.135168627349586,0.546,1044.0,South,Desktop
CUST_000247,18.73,18.0,1.0,18.7,5.9084868191141915,0.297,573.0,West,Mobile
CUST_000248,15.12,20.0,,16.2,10.632667368517135,0.177,,South,Desktop
CUST_000249,275.49,17.0,0.0,5.2,17.737469433952953,0.237,893.0,West,Mobile
CUST_000250,53.84,32.0,0.0,6.4,18.58910161581293,0.514,325.0,North,Desktop
CUST_000251,7.29,15.0,3.0,24.8,33.88084764724384,,1291.0,West,Mobile
CUST_000252,99.63,26.0,6.0,16.8,16.449376440860775,0.691,1085.0,North,Tablet
CUST_000253,422.67,21.0,0.0,107.3,43.03184324727928,0.542,6668.0,East,Mobile
CUST_000254,114.32,18.0,0.0,14.3,27.54581539386952,0.479,820.0,North,Desktop
CUST_000255,5.35,19.0,3.0,,3.1285519333299385,0.095,823.0,East,Mobile
CUST_000256,18.52,18.0,,10.8,27.180637039135895,0.162,627.0,West,Mobile
CUST_000257,151.46,30.0,3.0,16.7,29.030480873670765,0.575,1331.0,North,Desktop
CUST_000258,,15.0,1.0,23.3,17.854810524570993,0.387,1449.0,West,Mobile
CUST_000259,56.41,19.0,0.0,29.0,16.0456729331022,0.436,1521.0,South,Mobile
CUST_000260,83.89,25.0,0.0,0.6,14.01368757329443,0.164,438.0,West,Desktop
CUST_000261,10.89,21.0,1.0,22.3,4.945367446686994,0.478,801.0,East,Desktop
CUST_000262,30.83,19.0,3.0,19.0,3.6216052264851233,0.14,751.0,East,Desktop
CUST_000263,0.68,27.0,2.0,17.6,5.971945538280773,,798.0,South,Desktop
CUST_000264,9.69,28.0,2.0,60.5,50.23935570983788,0.326,3631.0,South,Mobile
CUST_000265,24.46,28.0,0.0,,34.38225798414027,0.535,1399.0,West,Desktop
CUST_000266,7.41,22.0,1.0,10.8,14.961776905085546,0.749,839.0,East,Desktop
CUST_000267,,34.0,1.0,18.4,13.462537357836721,0.272,,West,Desktop
CUST_000268,5.95,28.0,0.0,18.6,33.57528440695298,0.41,858.0,West,Desktop
CUST_000269,19.53,33.0,2.0,25.1,12.261957630960055,0.575,1583.0,East,Desktop
CUST_000270,38.74,12.0,2.0,21.5,95.76966822287332,0.432,1589.0,North,Mobile
CUST_000271,186.7,22.0,0.0,0.0,,0.552,75.0,South,Mobile
CUST_000272,5.91,6.0,0.0,133.5,16.871001225853973,0.614,7763.0,South,Desktop
CUST_000273,133.73,24.0,1.0,25.5,5.048087427761126,0.409,2108.0,South,Mobile
CUST_000274,33.52,57.0,1.0,3.2,5.288455402819751,0.606,0.0,East,Desktop
CUST_000275,10.2,21.0,0.0,14.0,17.85498159622804,,1024.0,South,Desktop
CUST_000276,57.66,27.0,2.0,17.7,24.554123708700562,0.353,1549.0,South,Desktop
CUST_000277,42.05,34.0,2.0,0.0,5.757217119115571,0.458,0.0,North,Mobile
CUST_000278,16.11,39.0,3.0,17.8,38.75184577300731,0.208,890.0,East,Mobile
CUST_000279,36.01,35.0,1.0,10.0,30.40112684987154,0.501,1065.0,North,Desktop
CUST_000280,20.86,14.0,0.0,16.3,3.0817890055903634,0.352,528.0,East,Desktop
CUST_000281,,21.0,4.0,16.8,33.1605746334799,0.439,,West,Desktop
CUST_000282,73.3,7.0,1.0,13.0,11.558070507225702,0.502,856.0,West,Mobile
CUST_000283,222.12,32.0,0.0,14.9,8.736817158017926,0.466,1540.0,West,Desktop
CUST_000284,7.5,39.0,1.0,6.6,7.470485442378928,0.066,0.0,South,Desktop
CUST_000285,428.22,25.0,0.0,14.0,15.234851360896037,0.487,1127.0,South,Mobile
CUST_000286,3.18,,1.0,10.4,7.568168415555464,0.377,654.0,East,Tablet
CUST_000287,,14.0,0.0,18.0,76.48134595485172,0.149,958.0,East,Desktop
CUST_000288,67.09,21.0,3.0,15.3,7.771648829600769,0.369,1345.0,East,Desktop
CUST_000289,46.39,25.0,1.0,6.5,91.44846313056702,0.256,222.0,West,Desktop
CUST_000290,15.69,,0.0,,18.075794700711484,0.63,445.0,West,Tablet
CUST_000291,25.8,14.0,3.0,8.7,17.795608108511747,0.588,742.0,North,Mobile
CUST_000292,18.33,,0.0,14.4,,0.704,1199.0,East,Desktop
CUST_000293,16.33,27.0,0.0,16.0,11.694109582378122,0.847,,West,Mobile
CUST_000294,91.79,26.0,1.0,14.2,19.754740555107173,0.449,327.0,West,Mobile
CUST_000295,50.83,14.0,1.0,16.1,28.286204038042456,0.343,509.0,West,Desktop
CUST_000296,14.42,11.0,0.0,10.6,64.77129472302543,0.324,885.0,East,Desktop
CUST_000297,97.47,15.0,0.0,,23.46177360831591,0.525,1013.0,East,Tablet
CUST_000298,47.88,11.0,0.0,4.0,15.664491210335209,0.088,0.0,South,Desktop
CUST_000299,87.83,23.0,1.0,12.0,10.628483090594148,0.548,,East,Mobile
CUST_000300,70.5,26.0,0.0,10.0,18.09907255672209,0.099,860.0,North,Mobile
CUST_000301,12.25,50.0,1.0,33.4,26.357980295415064,0.401,2281.0,South,Desktop
CUST_000302,16.91,13.0,1.0,31.2,5.4978328213121905,0.29,1586.0,South,Tablet
CUST_000303,81.19,24.0,0.0,18.8,16.560515418060707,0.427,1618.0,East,Desktop
CUST_000304,68.89,23.0,0.0,7.8,50.587531693290074,0.887,685.0,West,Mobile
CUST_000305,32.3,25.0,2.0,14.3,8.277378456920548,0.255,548.0,East,Desktop
CUST_000306,38.12,26.0,3.0,17.1,7.954242531332772,0.348,1026.0,West,Mobile
CUST_000307,153.42,23.0,1.0,0.0,7.745390607177644,0.715,154.0,West,Desktop
